TIPO_AGENTE,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,ANO,PAIS,CANTIDAD_REGISTROS
EDITORIAL COMERCIAL,ALEMÁN,COMBOIO DO CORDA EDITORA LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2013,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMBOIO DO CORDA EDITORA LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2018,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2016,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2018,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2021,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2023,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2017,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2019,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2021,COLOMBIA,3.0
EDITORIAL COMERCIAL,ALEMÁN,COMERCIALIZADORA CONO SUR LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2022,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMPANHIA DAS LETRAS,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2021,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,COMPANHIA DAS LETRAS,890 - LITERATURAS DE OTRAS LENGUAS,2024,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CONSULTOR ASSESSORIA DE PLANEJAMENTO LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2014,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,CONTRAPONTO EDITORA LTDA,SIN DATO,2011,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2013,BRASIL,7.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2014,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2013,BRASIL,4.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2014,BRASIL,6.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,2015,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,890 - LITERATURAS DE OTRAS LENGUAS,2014,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,SIN DATO,2010,BRASIL,3.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,SIN DATO,2011,BRASIL,3.0
EDITORIAL COMERCIAL,ALEMÁN,COSAC & NAIFY EDICOES LTDA,SIN DATO,2012,BRASIL,3.0
EDITORIAL COMERCIAL,ALEMÁN,CUADRO DE TIZA EDICIONES LIMITADA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2020,CHILE,2.0
EDITORIAL COMERCIAL,ALEMÁN,CUADRO DE TIZA EDICIONES LIMITADA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,CUARTO PROPIO,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,CUARTO PROPIO,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2021,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,CUARTO PROPIO,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2022,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,CUARTO PROPIO,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2023,CHILE,2.0
EDITORIAL COMERCIAL,ALEMÁN,CUARTO PROPIO,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,DAS KAPITAL EDICIONES LIMITADA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2016,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,DBA EDITORA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,DIFUNDIR LTDA,800 - LITERATURA Y RETÓRICA: GENERAL,2018,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,DIFUSAO CULTURAL DO LIVRO LTDA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2013,BRASIL,2.0
EDITORIAL COMERCIAL,ALEMÁN,DISTRIBUIDORA COMERCIAL DIDACTICA S.A.S.,800 - LITERATURA Y RETÓRICA: GENERAL,2016,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,DISTRIBUIDORA COMERCIAL DIDACTICA S.A.S.,800 - LITERATURA Y RETÓRICA: GENERAL,2017,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,DOS PENSADORES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2024,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,"E REALIZACOES EDITORA, LIVRARIA E DISTRIBUIDORA LTDA",890 - LITERATURAS DE OTRAS LENGUAS,2013,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,EBISA EDICIONES DE NELSON CHUQUIZUTA V.,800 - LITERATURA Y RETÓRICA: GENERAL,2013,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,EBISA EDICIONES DE NELSON CHUQUIZUTA V.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2016,PERÚ,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICAO DE LIVROS,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2019,BRASIL,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICION DIGITAL S.A.,800 - LITERATURA Y RETÓRICA: GENERAL,2014,CHILE,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES ALARCOS,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2011,CUBA,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES ARTEMISA SAS,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2018,COLOMBIA,2.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES ARTEMISA SAS,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2019,COLOMBIA,2.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES ARTEMISA SAS,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2020,COLOMBIA,3.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES B,800 - LITERATURA Y RETÓRICA: GENERAL,2016,COLOMBIA,3.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES B,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2015,COLOMBIA,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES B,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2016,MÉXICO,19.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES B,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,2017,MÉXICO,9.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2010,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2011,MÉXICO,2.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2012,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2013,MÉXICO,3.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2014,MÉXICO,1.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2015,MÉXICO,3.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2016,MÉXICO,11.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2017,MÉXICO,8.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2018,MÉXICO,2.0
EDITORIAL COMERCIAL,ALEMÁN,EDICIONES CASTILLO,800 - LITERATURA Y RETÓRICA: GENERAL,2019,MÉXICO,3.0
