GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
AGALMA PSICANALISE EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2011,SIN DATO,2.0
AGALMATA EDICIONES,EDITORIAL COMERCIAL,MÉXICO,2016,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
AGALMATA EDICIONES,EDITORIAL COMERCIAL,MÉXICO,2018,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
AGALMATA EDICIONES,EDITORIAL COMERCIAL,MÉXICO,2019,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AGALMATA EDICIONES,EDITORIAL COMERCIAL,MÉXICO,2020,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
AGATA MUSGO EDITORA SPA,EDITORIAL COMERCIAL,CHILE,2024,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
AGEBE,EDITORIAL COMERCIAL,ARGENTINA,2016,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
"AGENCIA DE SERVICIOS EDITORIALES, DISENO Y PUBLICIDAD OXIMORON SPA",EDITORIAL COMERCIAL,CHILE,2016,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
"AGENCIA DE SERVICIOS EDITORIALES, DISENO Y PUBLICIDAD OXIMORON SPA",EDITORIAL COMERCIAL,CHILE,2018,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2017,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2017,820 - LITERATURA INGLESA E INGLESA ANTIGUA,5.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2017,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2017,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2018,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2018,820 - LITERATURA INGLESA E INGLESA ANTIGUA,3.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2018,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,3.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2018,840 - LITERATURA DE LAS LENGUAS ROMANCES,2.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2019,800 - LITERATURA Y RETÓRICA: GENERAL,6.0
